topic,text,correct_num,wrong_num,tp,tn,fp,fn,accuracy,keywords
20,,24,0,0,24,0,0,1.0,"[('show', 0.10264000811428238), ('mkr', 0.05345801614446672), ('drag', 0.05174077224405268), ('end', 0.041814537644896684), ('this', 0.04154279793818261), ('back', 0.03963772090625325), ('years', 0.03723140960460116), ('will', 0.03596404765948383), ('running', 0.03141155463658611), ('watching', 0.030513286252916032), ('out', 0.02877123812758706), ('they', 0.02786917611660335), ('still', 0.02735174016542269), ('start', 0.027244577696853844), ('for', 0.026336750531153634), ('is', 0.026265726147441562), ('it', 0.025924649748400523), ('going', 0.02566048712582921), ('god', 0.024820939736400777), ('never', 0.024262820843317632)]"
39,,11,0,2,9,0,0,1.0,"[('trash', 0.1527547924265349), ('out', 0.12674708058633619), ('gd', 0.10063896145702346), ('tl', 0.10063896145702346), ('cont', 0.10063896145702346), ('take', 0.09445707626506264), ('ibelieve', 0.08288570310940478), ('grass', 0.08288570310940478), ('mention4672', 0.08288570310940478), ('rt', 0.08090881331634689), ('cutting', 0.07871253060591692), ('sum', 0.07871253060591692), ('chores', 0.07871253060591692), ('adults', 0.06768205944230962), ('clean', 0.06409457168825862), ('taking', 0.06284364201719708), ('cb53eg', 0.05918276274206043), ('mention3626', 0.05918276274206043), ('mow', 0.05918276274206043), ('74h4fo', 0.05918276274206043)]"
21,,24,0,0,24,0,0,1.0,"[('harassment', 0.08619746239563254), ('abuse', 0.05087521809324382), ('community', 0.03573717116781946), ('is', 0.03190315943374545), ('of', 0.030666497059486875), ('that', 0.026022172962939703), ('to', 0.02572685965281399), ('gg', 0.02543760904662191), ('bsd', 0.025241509575288718), ('irs', 0.025241509575288718), ('mention2475', 0.023567225452777618), ('creating', 0.023567225452777618), ('mention3839', 0.023567225452777618), ('want', 0.021760702574604315), ('ve', 0.021541395564485623), ('randi', 0.021461310621270015), ('group', 0.021461310621270015), ('tools', 0.021461310621270015), ('specific', 0.02071100067640561), ('online', 0.020077335121412777)]"
16,,27,0,1,26,0,0,1.0,"[('president', 0.06987598942975468), ('racist', 0.06841182263099106), ('black', 0.048873204492162474), ('vote', 0.04658399295316979), ('not', 0.03954521375605472), ('people', 0.03351548845396547), ('equality', 0.03292487313738407), ('mention3353', 0.03158458322503743), ('mention2059', 0.03158458322503743), ('blacklivesmatter', 0.03158458322503743), ('remembered', 0.03158458322503743), ('quotesbybrett', 0.03158458322503743), ('orjewish', 0.03158458322503743), ('oppressions', 0.03158458322503743), ('mention4500', 0.03158458322503743), ('white', 0.03133698806598064), ('will', 0.030746465615620885), ('needs', 0.030438789656704754), ('mention2265', 0.029489559310081837), ('whining', 0.028004803635265776)]"
17,,26,0,0,26,0,0,1.0,"[('kat', 0.17696233050294247), ('mkr', 0.07068420072731153), ('behaviour', 0.052475020403944604), ('face', 0.04189576134479805), ('soooo', 0.039455175161373625), ('tsk', 0.03354632048567449), ('she', 0.03285800790135114), ('crazy', 0.0290961509383876), ('fair', 0.0279305075631987), ('is', 0.024934022664237946), ('annie', 0.023530037340860517), ('be', 0.02326047041577195), ('let', 0.023026171210698054), ('had', 0.022340635827113577), ('survives', 0.021967135865079545), ('unbridled', 0.021967135865079545), ('joker', 0.021967135865079545), ('waworkmates', 0.021967135865079545), ('failing', 0.021967135865079545), ('clueless', 0.021967135865079545)]"
32,,14,0,0,14,0,0,1.0,"[('camilla', 0.2000839371785197), ('celine', 0.18188024230370742), ('vicky', 0.15705777318293057), ('ash', 0.12616174041542583), ('and', 0.08348211693979722), ('mkr', 0.07127735485928897), ('between', 0.05448915539370769), ('taking', 0.052306223254717565), ('punters', 0.04113845443823987), ('wooo', 0.04113845443823987), ('7sport', 0.04113845443823987), ('logxwzv1s0', 0.04113845443823987), ('dumbbitch', 0.04113845443823987), ('victorious', 0.04113845443823987), ('urg', 0.04113845443823987), ('girrrrl', 0.04113845443823987), ('vic', 0.04113845443823987), ('manners', 0.04113845443823987), ('mention1339', 0.04113845443823987), ('flemington', 0.04113845443823987)]"
37,,12,0,0,12,0,0,1.0,"[('announcers', 0.05741292135288965), ('journalists', 0.05319144810136256), ('mention2597', 0.05319144810136256), ('npr', 0.05051333739818967), ('press', 0.04843837864520288), ('tired', 0.046744922087401435), ('wadhwa', 0.04201266654187742), ('am', 0.039569910053848786), ('to', 0.03871050844956124), ('now', 0.03781652665282591), ('place', 0.033975614665074295), ('little', 0.033604365162539784), ('announcements', 0.03171890178649336), ('televisetherevolution', 0.03171890178649336), ('quoted', 0.03171890178649336), ('104', 0.03171890178649336), ('upon', 0.03171890178649336), ('protesters', 0.03171890178649336), ('vent', 0.03171890178649336), ('supported', 0.03171890178649336)]"
36,,13,0,0,13,0,0,1.0,"[('lemon', 0.29359143452799796), ('tart', 0.22317366836784533), ('deconstructed', 0.21849733421860268), ('huba', 0.08646559663024432), ('curd', 0.08646559663024432), ('please', 0.0741622566229563), ('mkr', 0.071494003354302), ('amirite', 0.04814074455538708), ('bothered', 0.04814074455538708), ('bitter', 0.04814074455538708), ('massimo', 0.04814074455538708), ('brought', 0.04814074455538708), ('vaes1sfx30', 0.04814074455538708), ('bandaid', 0.04814074455538708), ('mention4489', 0.04814074455538708), ('weekend', 0.04814074455538708), ('yd3cd85pjh', 0.04814074455538708), ('sauerkraut', 0.04814074455538708), ('mention2232', 0.04814074455538708), ('grrrrrrrrrrr', 0.04814074455538708)]"
22,,23,0,0,23,0,0,1.0,"[('teams', 0.09177490322702808), ('top', 0.06442015603555512), ('scoring', 0.05284329673382273), ('judges', 0.04782760459534281), ('mkr', 0.04706187895871421), ('round', 0.04272612921556289), ('only', 0.0366143231232779), ('credibility', 0.034150277660684736), ('tennis', 0.034150277660684736), ('so', 0.03238331716663198), ('prize', 0.03188506973022854), ('the', 0.03147701249972683), ('devs', 0.030279703650455434), ('are', 0.02912785387906675), ('contestants', 0.029035890840541784), ('same', 0.029005279288143254), ('back', 0.02747993256105792), ('strategic', 0.02716345339955846), ('they', 0.02576142330106192), ('competition', 0.024175145201760218)]"
19,,25,0,0,25,0,0,1.0,"[('cook', 0.1151894582139516), ('chef', 0.05299099925487634), ('mkr', 0.050495081604063026), ('cooks', 0.04248284028718614), ('secret', 0.03974324944115726), ('cooked', 0.036075086797216604), ('food', 0.03210211149586895), ('we', 0.0316379527546965), ('bake', 0.03110101063850161), ('can', 0.030141772185332927), ('they', 0.029315936625388773), ('you', 0.029257169409576872), ('go', 0.02901554409030859), ('were', 0.02857070542031923), ('real', 0.02857070542031923), ('how', 0.025620303709230748), ('main', 0.0251344215351838), ('seems', 0.02456478316929445), ('fair', 0.02358067441811038), ('seriously', 0.02237953582790234)]"
